Timestamp,Chester_X,Chester_Y,Chester_Theta,Detected_Human_X,Detected_Human_Y,Detected_Distance,Detected_Confidence,True_Distance,Human_X,Human_Y
1746642393.77689,1.15232789012639,-0.564869718821721,-0.058307345182411,1.02939903736115,-0.010673039592803,1.0294543504715,0.84266459941864,1.0294543504715,2.288356,-0.545946
1746642394.25271,1.15232908653603,-0.564869592593666,-0.058921793907798,1.04343807697296,-0.010818598791957,1.04349410533905,0.82744562625885,1.04349410533905,2.288356,-0.545946
1746642394.75833,1.1523302761346,-0.564869501714983,-0.059623985863938,1.04343807697296,-0.010818598791957,1.04349410533905,0.82744562625885,1.04349410533905,2.288356,-0.545946
1746642395.25294,1.15233172664446,-0.564869505214323,-0.060326124193007,1.0294417142868,-0.010673481971026,1.02949702739716,0.845279335975647,1.02949702739716,2.288356,-0.545946
1746642395.75728,1.15233332624657,-0.564869365168652,-0.061116127875353,1.0294417142868,-0.010673481971026,1.02949702739716,0.845279335975647,1.02949702739716,2.288356,-0.545946
1746642396.25482,1.15233454552313,-0.564869343590982,-0.061906039943357,1.0294417142868,-0.010673481971026,1.02949702739716,0.845279335975647,1.02949702739716,2.288356,-0.545946
1746642396.76812,1.15233616209615,-0.564869417504938,-0.062608144667179,1.0294417142868,-0.010673481971026,1.02949702739716,0.845279335975647,1.02949702739716,2.288356,-0.545946
1746642397.25554,1.15233750824906,-0.564869216876339,-0.063398176564757,,,,,,2.288356,-0.545946
1746642397.75824,1.15233907801698,-0.564869328165429,-0.064275787601082,,,,,,2.288356,-0.545946
1746642398.25266,1.15233979204999,-0.564869292143425,-0.064626878512138,1.04068565368652,-0.006866402924061,1.04070830345154,0.839688122272491,1.04070830345154,2.288356,-0.545946
1746642398.75447,1.15234078595954,-0.564869389313813,-0.065073924520087,1.04068565368652,-0.006866402924061,1.04070830345154,0.839688122272491,1.04070830345154,2.288356,-0.545946
1746642399.25278,1.15234143834008,-0.564869322916987,-0.065576517793556,1.04068565368652,-0.006866402924061,1.04070830345154,0.839688122272491,1.04070830345154,2.288356,-0.545946
1746642399.77786,1.15234237939967,-0.564869396658441,-0.066079012223862,1.04068565368652,-0.006866402924061,1.04070830345154,0.839688122272491,1.04070830345154,2.288356,-0.545946
1746642400.25441,1.15234317294792,-0.564869583297439,-0.066469761121991,1.03809130191803,0.000978469382972,1.03809177875519,0.837670624256134,1.03809177875519,2.288356,-0.545946
1746642400.75265,1.1523433818889,-0.56486938778141,-0.066533965873897,1.03809130191803,0.000978469382972,1.03809177875519,0.837670624256134,1.03809177875519,1.968573,1.057352
1746642401.25421,1.15234331530998,-0.564869356345368,-0.066470051202056,1.03809130191803,0.000978469382972,1.03809177875519,0.837670624256134,1.03809177875519,1.968573,1.057352
1746642401.77189,1.15234304809948,-0.564869344166761,-0.066405838859778,1.01934921741486,0.002882411004975,1.0193532705307,0.840535879135132,1.0193532705307,1.968573,1.057352
1746642402.27562,1.15234276833786,-0.564869316356022,-0.06626203506973,1.01934921741486,0.002882411004975,1.0193532705307,0.840535879135132,1.0193532705307,1.968573,1.057352
1746642402.75954,1.15234245164784,-0.564869435008041,-0.066094077234376,1.01934921741486,0.002882411004975,1.0193532705307,0.840535879135132,1.0193532705307,1.968573,1.057352
1746642403.254,1.15234204896672,-0.564869336229729,-0.065878202369916,1.01934921741486,0.002882411004975,1.0193532705307,0.840535879135132,1.0193532705307,1.968573,1.057352
1746642403.75995,1.15234183037816,-0.564869329520322,-0.065710244623053,,,,,,1.968573,1.057352
1746642404.25806,1.15234137268581,-0.564869317816268,-0.065518304584845,,,,,,1.968573,1.057352
1746642404.75652,1.15234100305363,-0.564869369257865,-0.065326323193669,,,,,,1.968573,1.057352
1746642405.25267,1.15234047811219,-0.564869344357994,-0.065086400833561,1.03682041168213,0.00293181440793,1.03682458400726,0.822267472743988,1.03682458400726,1.968573,1.057352
1746642405.76323,1.1523403846903,-0.564869368244633,-0.064942429830666,1.03682041168213,0.00293181440793,1.03682458400726,0.822267472743988,1.03682458400726,1.968573,1.057352
1746642406.2541,1.15233996511237,-0.564869340238342,-0.064726504533041,1.03682041168213,0.00293181440793,1.03682458400726,0.822267472743988,1.03682458400726,1.968573,1.057352
1746642406.75651,1.15233956101824,-0.564869452256121,-0.064534485887187,1.03682041168213,0.00293181440793,1.03682458400726,0.822267472743988,1.03682458400726,1.968573,1.057352
1746642407.26158,1.15233911137836,-0.564869332905438,-0.064342611732521,,,,,,1.968573,1.057352
1746642407.78313,1.1523388370439,-0.564869386417533,-0.06419861630597,,,,,,1.968573,1.057352
1746642408.25355,1.15233833584669,-0.564869271119058,-0.063958755539717,,,,,,1.968573,1.057352
